link,identifier,title,creator,dc_creator,publisher,date,issued,description,subject,price,extent,materialType,alternative,edition,volumeTitle,seriesTitle,volume,seriesCreator,publicationName
031625299,"{'JPNO': ['23587865'], 'NDLBibID': ['031625299'], 'ISBN': ['978-4-908877-39-1']}","[{'value': '障害児教育福祉史の偉人伝 : 愛知の障害児者支援への尽力', 'transcription': 'ショウガイジ キョウイク フクシシ ノ イジンデン : アイチ ノ ショウガイジシャ シエン エノ ジンリョク'}]","[{'name': '小川, 英彦, 1957-', 'transcription': 'オガワ, ヒデヒコ, 1957-'}]",[{'name': '小川英彦 著'}],"[{'name': '三学出版', 'location': '大津'}]",2021.7,2021,"['表現種別 : テキスト', '機器種別 : 機器不用', 'キャリア種別 : 冊子', '文献あり', '年表あり']","{'NDLSH': ['障害児教育--愛知県--歴史--近代--伝記', '障害児福祉--愛知県--歴史--近代--伝記'], 'NDLC': ['FG1'], 'NDC10': ['378.028']}",2300円,['168 p ; 21 cm'],['図書'],,,,,,,
032924618,"{'NDLBibID': ['032924618'], 'ISBN': ['9788985863865']}",[{'value': '한국장애인사 : 역사 속의 장애 인물'}],"[{'name': '방, 귀희'}]",[{'name': '방귀희 엮음'}],"[{'name': '솟대', 'location': '서울'}]",2023.6,2023,"['表現種別 : テキスト', '機器種別 : 機器不用', 'キャリア種別 : 冊子', '文献あり']",{'NDLC': ['EG61']},25000원,['320 p ; 26 cm'],['図書'],[{'value': '韓国障害者史 : 歴史の中の障害者'}],['개정판'],,,,,
027209349,"{'JPNO': ['01043290'], 'NDLBibID': ['027209349']}","[{'value': 'むつぼしのひかり', 'transcription': 'ムツボシ ノ ヒカリ'}]","[{'name': '点字雑誌むつぼしのひかりデータ化研究プロジェクト', 'transcription': 'テンジ ザッシ ムツボシ ノ ヒカリ データカ ケンキュウ プロジェクト'}]",[{'name': '点字雑誌『むつぼしのひかり』データ化・研究プロジェクト 編'}],"[{'name': '桜雲会点字出版部', 'location': '東京'}]",2016-,2016,"['表現種別 : テキスト', '機器種別 : 機器不用', 'キャリア種別 : 冊子', '監修者: 中村満紀男']",{'NDLC': ['ZE5']},,['冊 ; 30cm'],['雑誌'],,,"[{'value': '墨字訳 : 視覚障害者による視覚障害者のための明治の点字総合雑誌', 'transcription': 'スミジ ヤク : シカク ショウガイシャ ニ ヨル シカク ショウガイシャ ノ タメノ メイジ ノ テンジ ソウゴウ ザッシ'}]","[{'value': '視覚障害者の歴史資料集 ; 1', 'transcription': 'シカク ショウガイシャ ノ レキシ シリョウシュウ ; 1'}]",,,
032458101,"{'JPNO': ['23774176'], 'NDLBibID': ['032458101'], 'ISBN': ['978-4-9046-1187-6'], 'ErrorISBN': ['4-9046-1187-6']}","[{'value': '視覚障害者柔道の歴史 : 人物史を中心に', 'transcription': 'シカク ショウガイシャ ジュウドウ ノ レキシ : ジンブツシ オ チュウシン ニ'}]","[{'name': '伊藤, 友治, 1950-', 'transcription': 'イトウ, トモジ, 1950-'}]",[{'name': '伊藤友治 著'}],"[{'name': '桜雲会', 'location': '東京'}]",2022.9,2022,"['表現種別 : テキスト', '機器種別 : 機器不用', 'キャリア種別 : 冊子', 'ISBN（エラーコード） : 4-9046-1187-6', '文献あり']","{'NDLSH': ['柔道--歴史', '視覚障害者'], 'NDLC': ['FS37'], 'NDC10': ['789.2']}",2000円,['207 p ; 26 cm'],['図書'],,,,,,,
032822328,"{'JPNO': ['23846849'], 'NDLBibID': ['032822328']}","[{'value': '講話 より巨いなる山の動く日 : 障害者問題の歴史と展望.', 'transcription': 'コウワ ヨリ オオイナル ヤマ ノ ウゴク ヒ : ショウガイシャ モンダイ ノ レキシ ト テンボウ.'}]","[{'name': '清水, 寛, 1936-', 'transcription': 'シミズ, ヒロシ, 1936-'}]",[{'name': '清水寛 編著'}],"[{'name': '埼玉障害者センター「すまいるはうす」', 'location': '鶴ヶ島'}]",2023.3,2023,"['表現種別 : テキスト', '機器種別 : 機器不用', 'キャリア種別 : 冊子']","{'NDLSH': ['障害者教育--日本'], 'NDLC': ['FG1'], 'NDC10': ['378.021']}",,['204 p ; 21 cm'],['図書'],,,,,['1'],,
032822378,"{'JPNO': ['23846852'], 'NDLBibID': ['032822378']}","[{'value': '講話 より巨いなる山の動く日 : 障害者問題の歴史と展望.', 'transcription': 'コウワ ヨリ オオイナル ヤマ ノ ウゴク ヒ : ショウガイシャ モンダイ ノ レキシ ト テンボウ.'}]","[{'name': '清水, 寛, 1936-', 'transcription': 'シミズ, ヒロシ, 1936-'}]",[{'name': '清水寛 編著'}],"[{'name': '埼玉障害者センター「すまいるはうす」', 'location': '鶴ヶ島'}]",2023.3,2023,"['表現種別 : テキスト', '機器種別 : 機器不用', 'キャリア種別 : 冊子', '年表あり']","{'NDLSH': ['障害者教育--日本', '戦争と社会'], 'NDLC': ['FG1'], 'NDC10': ['378.021']}",,['p 443-606 ; 21 cm'],['図書'],,,,,['3'],,
032822356,"{'JPNO': ['23846851'], 'NDLBibID': ['032822356']}","[{'value': '講話 より巨いなる山の動く日 : 障害者問題の歴史と展望.', 'transcription': 'コウワ ヨリ オオイナル ヤマ ノ ウゴク ヒ : ショウガイシャ モンダイ ノ レキシ ト テンボウ.'}]","[{'name': '清水, 寛, 1936-', 'transcription': 'シミズ, ヒロシ, 1936-'}]",[{'name': '清水寛 編著'}],"[{'name': '埼玉障害者センター「すまいるはうす」', 'location': '鶴ヶ島'}]",2023.3,2023,"['表現種別 : テキスト', '機器種別 : 機器不用', 'キャリア種別 : 冊子']","{'NDLSH': ['障害者教育--日本'], 'NDLC': ['FG1'], 'NDC10': ['378.021']}",,['p 205-442 ; 21 cm'],['図書'],,,,,['2'],,
032727916,"{'JPNO': ['23825386'], 'NDLBibID': ['032727916'], 'ISBN': ['978-4-258-046546']}","[{'value': '中東のなかの「障害と開発」', 'transcription': 'チュウトウ ノ ナカ ノ 「 ショウガイ ト カイハツ 」'}]","[{'name': '森, 壮也, 1962-', 'transcription': 'モリ, ソウヤ, 1962-'}]",[{'name': '森壮也 編'}],"[{'name': '日本貿易振興機構アジア経済研究所', 'location': '千葉'}]",2023.2,2023,"['表現種別 : テキスト', '機器種別 : 機器不用', 'キャリア種別 : 冊子', '文献あり']","{'NDLSH': ['障害者福祉--中近東'], 'NDLC': ['EG61'], 'NDC10': ['369.27']}",,['199 p ; 21 cm'],"['図書', '政府刊行物', '官公庁刊行物']","[{'value': 'Disability and development in the Middle East', 'transcription': 'Disability and development in the Middle East'}, {'value': 'Disability and development in the Middle East'}]",['オンデマンド版'],,,,,
033042275,"{'JPNO': ['23891841'], 'NDLBibID': ['033042275'], 'ISBN': ['978-4-904611-96-8']}","[{'value': '楽善会訓盲唖院記録 : 翻刻', 'transcription': 'ラクゼンカイ クンモウアイン キロク : ホンコク'}]","[{'name': '筑波大学附属視覚特別支援学校', 'transcription': 'ツクバ ダイガク フゾク シカク トクベツ シエン ガッコウ'}, {'name': '中村, 正直, 1832-1891', 'transcription': 'ナカムラ, マサナオ, 1832-1891'}]",[{'name': '筑波大学附属視覚特別支援学校資料室 編'}],"[{'name': '桜雲会点字出版部', 'location': '東京'}]",2023.7,2023,"['表現種別 : テキスト', '機器種別 : 機器不用', 'キャリア種別 : 冊子', '原本の編纂: 中村正直', '年表あり']","{'NDLSH': ['訓盲唖院'], 'NDLC': ['FG3'], 'NDC10': ['378.1']}",2000円,"['7, 199, 54 p ; 26 cm']",['図書'],,,,"[{'value': '視覚障害者の歴史資料集 ; 2', 'transcription': 'シカク ショウガイシャ ノ レキシ シリョウシュウ ; 2'}]",,,
029376289,"{'JPNO': ['23154271'], 'TOHANMARCNO': ['33859788'], 'NDLBibID': ['029376289'], 'ISBN': ['978-4-8058-5817-2']}","[{'value': '障害ピアサポート : 多様な障害領域の歴史と今後の展望', 'transcription': 'ショウガイ ピア サポート : タヨウ ナ ショウガイ リョウイキ ノ レキシ ト コンゴ ノ テンボウ'}]","[{'name': '岩崎, 香', 'transcription': 'イワサキ, カオリ'}]",[{'name': '岩崎香 編著'}],"[{'name': '中央法規出版', 'location': '東京'}]",2019.1,2019,,"{'NDLSH': ['障害者福祉'], 'NDLC': ['EG61'], 'NDC10': ['369.27']}",3000円,['243p ; 21cm'],['図書'],,,,,,,
033065249,"{'JPNO': ['23900788'], 'TOHANMARCNO': ['34525901'], 'NDLBibID': ['033065249'], 'ISBN': ['978-4-7684-3598-4']}","[{'value': '障害があり女性であること : 生活史からみる生きづらさ', 'transcription': 'ショウガイ ガ アリ ジョセイ デ アル コト : セイカツシ カラ ミル イキズラサ'}]","[{'name': '土屋, 葉, 1973-', 'transcription': 'ツチヤ, ヨウ, 1973-'}]","[{'name': '土屋葉 編著'}, {'name': '伊藤葉子 [ほか] [執筆]'}]","[{'name': '現代書館', 'location': '東京'}]",2023.10,2023,"['表現種別 : テキスト', '機器種別 : 機器不用', 'キャリア種別 : 冊子']","{'NDLSH': ['障害者--日本', '女性問題--日本'], 'NDLC': ['EG61'], 'NDC10': ['369.27']}",2500円,['326p ; 20cm'],['図書'],,,,,,,
032081364,"{'JPNO': ['23676996'], 'NDLBibID': ['032081364'], 'ISBN': ['978-4-86688-234-5']}","[{'value': '少年行刑の歴史からみる知的障害者福祉の萌芽', 'transcription': 'ショウネン ギョウケイ ノ レキシ カラ ミル チテキ ショウガイシャ フクシ ノ ホウガ'}]","[{'name': '末松, 惠, 1960-', 'transcription': 'スエマツ, メグミ, 1960-'}]",[{'name': '末松惠 著'}],"[{'name': '大空社出版', 'location': '東京'}]",2022.3,2022,"['表現種別 : テキスト', '機器種別 : 機器不用', 'キャリア種別 : 冊子', '年表あり', '文献あり']","{'NDLSH': ['知的障害者福祉--日本--歴史--1868-1945', '少年教護--日本--歴史--1868-1945', '刑務所--日本--歴史--1868-1945'], 'NDLC': ['EG64'], 'NDC10': ['369.28']}",4300円,"['12, 370 p ; 22 cm']",['図書'],,,,,,,
032414748,"{'JPNO': ['23760037'], 'NDLBibID': ['032414748'], 'ISBN': ['978-4-909970-15-2']}","[{'value': 'ひきこもりと発達障害のアポリア : 歴史的視座から辿る8050問題', 'transcription': 'ヒキコモリ ト ハッタツ ショウガイ ノ アポリア : レキシテキ シザ カラ タドル 8050 モンダイ'}]","[{'name': '鈴木, 信子, 1971-', 'transcription': 'スズキ, ノブコ, 1971-'}]",[{'name': '鈴木信子'}],"[{'name': '志學社', 'location': '東京'}]",2022.9,2022,"['表現種別 : テキスト', '機器種別 : 機器不用', 'キャリア種別 : 冊子', '文献あり']","{'NDLSH': ['中高年齢者--日本', 'ひきこもり--日本', '親子関係--日本'], 'NDLC': ['EC154'], 'NDC10': ['367.7']}",2600円,['266 p ; 19 cm'],['図書'],,,,,,,
029366618,"{'JPNO': ['23163686'], 'TOHANMARCNO': ['33857857'], 'NDLBibID': ['029366618'], 'ISBN': ['978-4-7917-7120-2']}","[{'value': '病者障害者の戦後 : 生政治史点描', 'transcription': 'ビョウシャ ショウガイシャ ノ センゴ : セイセイジシ テンビョウ'}]","[{'name': '立岩, 真也, 1960-', 'transcription': 'タテイワ, シンヤ, 1960-'}]",[{'name': '立岩真也 著'}],"[{'name': '青土社', 'location': '東京'}]",2018.12,2018,['文献あり'],"{'NDLSH': ['サナトリウム--日本--歴史--1945-', '障害者--日本--歴史--1945-'], 'NDLC': ['EG231'], 'NDC10': ['498.16']}",3000円,"['476,43p ; 19cm']",['図書'],,,,,,,
030680910,"{'JPNO': ['23448654'], 'NDLBibID': ['030680910'], 'ISBN': ['978-4-908877-33-9']}","[{'value': '障害児教育福祉史の人物 : 保育・教育・福祉・医療で支える', 'transcription': 'ショウガイジ キョウイク フクシシ ノ ジンブツ : ホイク ・ キョウイク ・ フクシ ・ イリョウ デ ササエル'}]","[{'name': '小川, 英彦, 1957-', 'transcription': 'オガワ, ヒデヒコ, 1957-'}]",[{'name': '小川英彦 著'}],"[{'name': '三学出版', 'location': '大津'}]",2020.9,2020,['文献あり'],"{'NDLSH': ['障害児教育--日本--歴史', '障害児福祉--日本--歴史--明治以後'], 'NDLC': ['FG1'], 'NDC10': ['378.021']}",2300円,['171p ; 21cm'],['図書'],,,,,,,
032751196,"{'JPNO': ['23833291'], 'TOHANMARCNO': ['34465241'], 'NDLBibID': ['032751196'], 'ISBN': ['978-4-12-102747-4']}","[{'value': '戦後教育史 : 貧困・校内暴力・いじめから、不登校・発達障害問題まで', 'transcription': 'センゴ キョウイクシ : ヒンコン コウナイ ボウリョク イジメ カラ フトウコウ ハッタツ ショウガイ モンダイ マデ'}]","[{'name': '小国, 喜弘, 1966-', 'transcription': 'コクニ, ヨシヒロ, 1966-'}]",[{'name': '小国喜弘 著'}],"[{'name': '中央公論新社', 'location': '東京'}]",2023.4,2023,"['表現種別 : テキスト', '機器種別 : 機器不用', 'キャリア種別 : 冊子', '文献あり 年表あり']","{'NDLSH': ['日本--教育--歴史--1945-'], 'NDLC': ['FB14'], 'NDC10': ['372.107']}",940円,['320p ; 18cm'],['図書'],,,,"[{'value': '中公新書 ; 2747', 'transcription': 'チュウコウ シンショ ; 2747'}]",,,
029411913,"{'JPNO': ['23174524'], 'NDLBibID': ['029411913']}","[{'value': '「障害者運動」の歴史と現在 : 豊橋市における障害のある人の「声」から考える', 'transcription': '「 ショウガイシャ ウンドウ 」 ノ レキシ ト ゲンザイ : トヨハシシ ニ オケル ショウガイ ノ アル ヒト ノ 「 コエ 」 カラ カンガエル'}]","[{'name': '愛知大学文学部', 'transcription': 'アイチ ダイガク ブンガクブ'}]",,"[{'name': '愛知大学文学部人文社会学科 (社会学コース・土屋クラス)', 'location': '[豊橋]'}]",2017.3,2017,['編集責任: 土屋葉'],"{'NDLSH': ['障害者--愛知県--豊橋市', '障害者福祉--愛知県--豊橋市'], 'NDLC': ['EG61'], 'NDC10': ['369.27']}",,['145p ; 30cm'],['図書'],,,,"[{'value': '社会調査実習報告書 ; 2016年度', 'transcription': 'シャカイ チョウサ ジッシュウ ホウコクショ ; 2016ネンド'}]",,,
030031934,"{'JPNO': ['01052009'], 'NDLBibID': ['030031934'], 'ISSN': ['2435-3078'], 'ISSNL': ['2435-3078']}","[{'value': '障害史研究', 'transcription': 'ショウガイシ ケンキュウ'}]","[{'name': '障害史研究会', 'transcription': 'ショウガイシ ケンキュウカイ'}]",[{'name': '障害史研究会 編'}],"[{'name': '九州大学大学院比較社会文化研究院', 'location': '福岡'}]",2020-,2020,['国立国会図書館雑誌記事索引 (1):2020.3-'],{'NDLC': ['ZE5']},,['冊 ; 30cm'],"['雑誌', '政府刊行物', '官公庁刊行物']","[{'value': 'The journal of disability history studies', 'transcription': 'The journal of disability history studies'}, {'value': 'The journal of disability history studies'}, {'value': 'Shogaishi kenkyu'}]",,,,,,
030050809,"{'JPNO': ['23303974'], 'NDLBibID': ['030050809'], 'ISBN': ['978-4-904185-45-2']}","[{'value': '障害のある人と優生思想', 'transcription': 'ショウガイ ノ アル ヒト ト ユウセイ シソウ'}]","[{'name': '日本障害者協議会', 'transcription': 'ニホン ショウガイシャ キョウギカイ'}]",,"[{'name': 'やどかり出版', 'location': 'さいたま'}]",2019.11,2019,['年表あり'],"{'NDLSH': ['障害者--日本', '優生問題--日本'], 'NDLC': ['EG61'], 'NDC10': ['369.27']}",1000円,['123p ; 21cm'],['図書'],,,,"[{'value': 'JDブックレット = JD booklet ; 4', 'transcription': 'JD ブックレット = JD booklet ; 4'}]",,[{'name': '日本障害者協議会 編'}],
11691148,{'NDLJP': ['info:ndljp/pid/11691148']},[{'value': '戦後日本の子どもから障害児を分けない教育の史的研究'}],"[{'name': '久米, 祐子'}]","[{'name': '久米, 祐子'}]",,2021-01-31,2021-01-31,"['収集根拠 : 博士論文（自動収集）', '資料形態 : テキストデータ', 'コレクション : 国立国会図書館デジタルコレクション > デジタル化資料 > 博士論文']",,,,['博士論文'],,,,,,,
12316981,{'NDLJP': ['info:ndljp/pid/12316981']},[{'value': '東京都の3つの旧身体障害者療護施設における入居者自治会による施設改革運動に関する研究 : 重度身体障害者が「生活の自由と自己決定」を求める運動の歴史的研究'}],,"[{'name': '須田, 真介'}]","[{'name': '須田, 真介'}]",2021,2021,"['収集根拠 : 博士論文（送信）', '資料形態 : テキストデータ', 'コレクション : 国立国会図書館デジタルコレクション > デジタル化資料 > 博士論文']",,,,,,,,,,,
