title,creator,extent,issued,material_type
障害児教育福祉史の偉人伝 : 愛知の障害児者支援への尽力,"小川, 英彦, 1957-",['168 p ; 21 cm'],2021,['図書']
한국장애인사 : 역사 속의 장애 인물,"방, 귀희",['320 p ; 26 cm'],2023,['図書']
むつぼしのひかり,点字雑誌むつぼしのひかりデータ化研究プロジェクト,['冊 ; 30cm'],2016,['雑誌']
視覚障害者柔道の歴史 : 人物史を中心に,"伊藤, 友治, 1950-",['207 p ; 26 cm'],2022,['図書']
講話 より巨いなる山の動く日 : 障害者問題の歴史と展望.,"清水, 寛, 1936-",['204 p ; 21 cm'],2023,['図書']
講話 より巨いなる山の動く日 : 障害者問題の歴史と展望.,"清水, 寛, 1936-",['p 443-606 ; 21 cm'],2023,['図書']
講話 より巨いなる山の動く日 : 障害者問題の歴史と展望.,"清水, 寛, 1936-",['p 205-442 ; 21 cm'],2023,['図書']
中東のなかの「障害と開発」,"森, 壮也, 1962-",['199 p ; 21 cm'],2023,"['図書', '政府刊行物', '官公庁刊行物']"
楽善会訓盲唖院記録 : 翻刻,筑波大学附属視覚特別支援学校,"['7, 199, 54 p ; 26 cm']",2023,['図書']
障害ピアサポート : 多様な障害領域の歴史と今後の展望,"岩崎, 香",['243p ; 21cm'],2019,['図書']
障害があり女性であること : 生活史からみる生きづらさ,"土屋, 葉, 1973-",['326p ; 20cm'],2023,['図書']
少年行刑の歴史からみる知的障害者福祉の萌芽,"末松, 惠, 1960-","['12, 370 p ; 22 cm']",2022,['図書']
ひきこもりと発達障害のアポリア : 歴史的視座から辿る8050問題,"鈴木, 信子, 1971-",['266 p ; 19 cm'],2022,['図書']
病者障害者の戦後 : 生政治史点描,"立岩, 真也, 1960-","['476,43p ; 19cm']",2018,['図書']
障害児教育福祉史の人物 : 保育・教育・福祉・医療で支える,"小川, 英彦, 1957-",['171p ; 21cm'],2020,['図書']
戦後教育史 : 貧困・校内暴力・いじめから、不登校・発達障害問題まで,"小国, 喜弘, 1966-",['320p ; 18cm'],2023,['図書']
「障害者運動」の歴史と現在 : 豊橋市における障害のある人の「声」から考える,愛知大学文学部,['145p ; 30cm'],2017,['図書']
障害史研究,障害史研究会,['冊 ; 30cm'],2020,"['雑誌', '政府刊行物', '官公庁刊行物']"
障害のある人と優生思想,日本障害者協議会,['123p ; 21cm'],2019,['図書']
戦後日本の子どもから障害児を分けない教育の史的研究,"久米, 祐子",,2021-01-31,['博士論文']
東京都の3つの旧身体障害者療護施設における入居者自治会による施設改革運動に関する研究 : 重度身体障害者が「生活の自由と自己決定」を求める運動の歴史的研究,,,2021,
障害児教育史研究 : 史料と論究,障害児教育史研究会,['冊 ; 21cm'],2018,['雑誌']
近代日本聴覚障害者生活史・断章,"松延, 秀一, 1955-",['241p ; 21cm'],2019,['図書']
障害児教育福祉史の資料集成 : 戦前の劣等児・精神薄弱児教育,"小川, 英彦, 1957-","['18, 197p ; 21cm']",2020,['図書']
史群アル仙のメンタルチップス : 不安障害とADHDの歩き方,"史群, アル仙, 1990-",['141p ; 21cm'],2018,['図書']
한국장애인사 : 역사 속의 장애 인물,"정, 창권",['320p ; 26cm + 51p'],2014,['図書']
障害児教育の方法論を問う : 人間一般から説く科学的障害児教育,"志垣, 司",['276p ; 19cm'],2017,['図書']
歴史のなかの障害者,"山下, 麻衣",['342p ; 20cm'],2014,['図書']
知的障害者と「わかりやすい選挙」 : 新しい権利保障としての「狛江モデル」構築の軌跡,"堀川, 諭, 1977-",['305p ; 21cm'],2024,['図書']
異形の人たち : 歴史の中の障害福祉,"楠, 峰光, 1943-",['191p ; 20cm'],2015,['図書']
障害学のアイデンティティ : 日本における障害者運動の歴史から,"堀, 智久, 1979-",['220p ; 22cm'],2014,['図書']
障害児教育のアメリカ史と日米関係史 : 後進国から世界最先端の特殊教育への飛翔と失速,"中村, 満紀男, 1945-",['1029p ; 22cm'],2021,['図書']
発達障害のある子を担任!どんな準備をするか : 『向山洋一は障害児教育にどう取り組んだか』に学ぶ,"向山, 洋一, 1943-",['183p ; 21cm'],2018,['図書']
精神障害者支援の思想と戦略 : QOLからHOLへ,"田中, 英樹, 1948-",['277p ; 22cm'],2018,['図書']
伝導失語 : 復唱障害、STM障害、音韻性錯語,日本高次脳機能障害学会,['278p ; 21cm'],2012,['図書']
障害児教育福祉史の記録 : アーカイブスの活用へ,"小川, 英彦, 1957-",['197p ; 21cm'],2016,['図書']
子どもから障害児を「分けない教育」の戦後史 : インクルーシブ教育とは,"久米, 祐子, 1959-","['227,5p ; 26cm']",2022,['図書']
重症心身障害児〈者〉医療福祉の誕生 : その歴史と論点,"岡田, 喜篤",['230p ; 22cm'],2016,['図書']
「知的障害者」に向けた前期中等教育において職業生活準備教育が重視される背景 -歴史的観点からの考察-,"西脇, 啓太",,2022,['博士論文']
史群アル仙のメンタルチップス : 不安障害とADHDの歩き方,"史群, アル仙, 1990-",['143p ; 21cm'],2017,['図書']
障害児教育福祉の通史 : 名古屋の学校・施設の歩み,"小川, 英彦, 1957-","['11, 141p ; 21cm']",2019,['図書']
障害教師論 : インクルーシブ教育と教師支援の新たな射程,"中村, 雅也","['212,13p ; 22cm']",2020,['図書']
障害児教育福祉の地域史 : 名古屋・愛知を対象に,"小川, 英彦, 1957-","['12, 142p ; 21cm']",2018,['図書']
通史日本の障害者 : 明治・大正・昭和,"山田, 明, 1947-",['243p ; 22cm'],2013,['図書']
総力戦体制と障害児保育論の形成 : 日本障害児保育史研究序説,"河合, 隆平, 1978-",['313p ; 22cm'],2012,['図書']
視覚障害当事者の運動の歴史 : 日本盲人会連合70年史,日本盲人会連合,['266p ; 30cm + CD-ROM 1枚 (12cm)'],2018,['図書']
輝くいのちの伴走者 : 障害福祉の先達との対話 : 浅野史郎対話集,"浅野, 史郎, 1948-",['208p ; 19cm'],2016,['図書']
イタリアのフルインクルーシブ教育 : 障害児の学校を無くした教育の歴史・課題・理念,"Mura, Antonello",['303p ; 19cm'],2022,['図書']
近代日本における災害救済と障害・疾病等を有する子どもの特別教育史研究 : 濃尾震災（1891年）を中心として,,,2020-03-17,
障害者教育史 社会問題としてたどる外国と日本の通史,"津曲, 裕次, 1936-",['CD-ROM 1枚'],2019,"['電子資料', 'DVD・CD']"
発達障害の臨床,,['ビデオディスク 1枚 (43分) : DVD'],2011,"['映像資料', 'DVD']"
聴覚障害教育の歴史と展望,ろう教育科学会,['503p ; 22cm'],2012,['図書']
全国情緒障害教育研究会からみた自閉症教育のあゆみと今後の展望,全国情緒障害教育研究会,['175p ; 26cm'],2017,['図書']
現場から考える精神療法 : うつ、統合失調症、そして発達障害,"村上, 伸治",['217p ; 21cm'],2017,['図書']
少年行刑の歴史からみる知的障害者福祉の萌芽－浦和監獄川越分監における処遇に着目して,"末松, 惠",,2019-03-20,['博士論文']
戦後における重度重複障害児教育実践の創成に関する歴史研究とアーカイブ化,"越野, 和之, 1964-",['260p'],"2016, 2019",['図書']
障害学国際セミナー,"川端, 美季, 1980-",['340p ; 21cm'],2013,['図書']
精神障害者の地域生活支援の枠組み,,['ビデオディスク 1枚 (13分) : DVD'],2009,"['映像資料', 'DVD']"
重症心身障害児者施設の歴史的背景と看護のありよう : くらしの中で福祉職と協働する看護の再定義,"窪田, 好恵",,2017-09-25,['博士論文']
"障害者運動における専門家と家族の歴史的考察 : 障害児者がいることと,そのありのままの肯定へ","堀, 智久",['2冊 (副論文・参考論文とも)'],2011,['博士論文']
障害児教育福祉の歴史 : 先駆的実践者の検証,"小川, 英彦, 1957-",['129p ; 21cm'],2014,['図書']
역사 속 장애인은 어떻게 살았을까 : 사료와 함께 읽는 장애인사,"정, 창권 (鄭昌權)",['565p ; 23cm'],2011,['図書']
DVDで学ぶ精神科ソーシャルワーク入門,,['ビデオディスク 1枚 (30分) : DVD'],2016,"['映像資料', 'DVD']"
特別支援学校中学部視覚障害者用社会 (歴史) 文部科学省著作教科書,,['9冊 ; 27cm'],2016,['図書']
往復書簡 : 日本の障害者福祉の礎となったヘレン・ケラー女史と岩橋武夫,"Keller, Helen, 1880-1968",['230p ; 30cm'],2012,['図書']
往復書簡 日本の障害者福祉の礎となったヘレン・ケラー女史と岩橋武夫,"Keller, Helen, 1880-1968",['4冊 ; 27cm'],2012,['図書']
障害児教育体制に関する社会学的探究 : 盲学校教育をめぐる歴史過程と実践の論理,,,2014,
ドイツ知的障害‘親の会’レーベンスヒルフェの成立史研究,"松本, 瑞穂",['1冊'],2011,['博士論文']
自閉症教育と知的障害教育 : 授業とカリキュラム開発の歴史と展望,"太田, 正巳, 1953-",['139p ; 21cm'],2012,['図書']
障害年金というヒント : 誰も知らない最強の社会保障 : 史上最強の社労士チームが徹底ガイド!,"中井, 宏, 1964-",['187p ; 19cm'],2014,['図書']
20世紀ロシアの挑戦盲ろう児教育の歴史 : 事例研究にみる障害児教育の成功と発展,"Basilova, Tatiana Aleksandrovna",['285p ; 20cm'],2017,['図書']
障害児教育・福祉年史集成,,"['186, 215p ; 27cm']",2005,['図書']
障害児教育・福祉年史集成,,"['348, 148p ; 27cm']",2005,['図書']
障害児教育・福祉年史集成,,['287p ; 27cm'],2005,['図書']
障害児教育・福祉年史集成,,"['98, 217, 66p ; 27cm']",2005,['図書']
障害児教育・福祉年史集成,,"['174, 185p ; 27cm']",2005,['図書']
障害児教育・福祉年史集成,,"['162, 254p ; 27cm']",2005,['図書']
障害児教育・福祉年史集成,,"['73, 173, 308p ; 27cm']",2005,['図書']
論集現代日本の教育史,"辻本, 雅史, 1949-",['618p ; 22cm'],2013,['図書']
障害者スポーツの総合的研究 : 歴史、現状分析と普及・振興の条件,"藤田, 紀昭, 1962-",['1冊'],2012,['博士論文']
関西障害者運動の現代史 : 大阪青い芝の会を中心に,"定藤, 邦子",['337p ; 20cm'],2011,['図書']
障害児教育・福祉年史集成,,"['211, 12, 240p ; 27cm']",2004,['図書']
強迫性障害の研究,OCD研究会,['182p ; 21cm'],2004,['図書']
障害児教育・福祉年史集成,,['432p ; 27cm'],2004,['図書']
障害児教育・福祉年史集成,,['1冊 ; 27cm'],2004,['図書']
障害児教育・福祉年史集成,,"['73, 199p ; 27cm']",2004,['図書']
注意欠陥/多動性障害の研究史 : 時代の鏡に照らして見たクラマーとポルノウ,"Rothenberger, Aribert",['158p ; 24cm'],2015,['図書']
障害児教育・福祉年史集成,,"['54, 140p ; 27cm']",2004,['図書']
障害児教育・福祉年史集成,,"['277, 155, 213p ; 27cm']",2004,['図書']
障害児教育・福祉年史集成,,['599p ; 27cm'],2004,['図書']
自己愛性人格/解離性障害/躁うつ病の拡散 : 精神医学における症例記述の復権のために,"鈴木, 茂, 1948-2013",['307p ; 22cm'],2015,['図書']
障害児教育・福祉年史集成 : 第1・2期解説・付録,"津曲, 裕次, 1936-",['98p ; 26cm'],2005,['図書']
<ADHD(注意欠陥/多動性障害)関連>論文集,,['285p ; 26cm'],2007,['図書']
ことばに障害がある人の歴史をさぐる,"山本, 正志",['129p ; 19cm'],2005,['図書']
障害児の教育権保障と教育実践の課題 : 養護学校義務制実施に向けた取り組みに学びながら,"二通, 諭, 1951-",['227p ; 26cm'],2014,['図書']
検証日本の精神科社会的入院と家族 : 精神科長期入院者とその家族について歴史的考察とその実態-精神障害者福祉への政策提言,"滝沢, 武久, 1942-",['292p ; 21cm'],2014,['図書']
視覚障害者の教育・職業・福祉 : その歴史と現状,"谷合, 侑, 1932-",['206p ; 26cm'],2005,['図書']
視覚障害教育の歴史・現状・課題 : 職業教育・進路保障と地域支援の充実を願って,"久松, 寅幸, 1951-",['304p ; 26cm'],2012,['図書']
視覚障害教育の歴史・現状・課題 職業教育・進路保障と地域支援の充実を願って,"久松, 寅幸, 1951-",['5冊 ; 27cm'],2012,['図書']
障害者の国際人権保障 : その歴史と課題,"川島, 聡",['1冊'],2005,['博士論文']
社会は障害のある人たちに何を期待しているか : 生涯学習実践から知的能力をめぐる問題を考える,"西村, 愛",['173p ; 19cm'],2014,['図書']
挑戦こそわが生命 : 視覚障害者たちの挑戦史 : 歴史エッセイ,"谷合, 侑, 1932-",['293p ; 21cm'],2006,['図書']
難聴 : 知られざる人間風景,"津名, 道代, 1933-",['260p ; 21cm'],2005,['図書']
国民皆介護 : 障害者自立支援法の成立,"京極, 高宣, 1942-",['181p ; 21cm'],2005,['図書']
忘れられた歴史はくり返す : 障害のある人が戦場に行った時代,"秋元, 波留夫, 1906-2007",['86p ; 21cm'],2006,['図書']
戦前戦後障害者運動史年表 : 戦前戦後障害者運動と関係法制,"杉本, 章, 1938-",['120p ; 26cm'],2001,['図書']
障害走,,['ビデオディスク 1枚 : DVD'],,"['映像資料', 'DVD']"
障害児教育学原論考 : 私家版,"藤井, 力夫, 1946-",['1004p ; 31cm'],2004,['図書']
知的障害養護学校における音楽科教育成立史研究,"藤原, 志帆",['1冊'],2005,['博士論文']
視覚障害教育の歴史・現状・課題 職業教育・進路保障と地域支援の充実を願って,"久松, 寅幸, 1951-",['CD-ROM 1枚 ; 12cm'],,"['電子資料', 'DVD・CD']"
岩手県障害児教育史資料,"中山, 文雄, 1937-",['112p ; 26cm'],2001,['図書']
近世障害者生活史の研究,"原田, 信一",['1冊'],2001,['博士論文']
清掃作業者のダイオキシン曝露による発癌リスク及び生殖障害に係る歴史的コホート研究,"毛利, 一平",['132p'],"2002, 2005",['図書']
リーディングス日本の社会福祉,"岩田, 正美, 1947-",['434p ; 22cm'],2011,['図書']
障害者社会史研究の地平を拓く : 故加藤康昭先生の生涯と業績,,['92p ; 30cm'],2004,['図書']
盲・聾分離をめざした苦闘・90年 : 第84回全日本盲学校教育研究大会研究発表 : 視覚障害教育の今後を考えるための史資料集,"岸, 博実, 1949-",['68p ; 30cm'],2009,"['図書', '政府刊行物', '地方公共団体刊行物']"
歴史と文化に見る身体障害者,"松尾, 智, 1957-",['210p ; 20cm'],2000,['図書']
障害者問題史研究紀要,精神薄弱問題史研究会,['冊 ; 26cm'],"1988, 2005",['雑誌']
特別支援教育の研究 : 重症心身障害児施設砂子療育園における医学・療育及び教育実践,"下川, 仁夫, 1951-",['349p ; 22cm'],2009,['図書']
日本知的障害教育学史の研究-明治期の近代化と欧米知的障害理論の受容・定着-,"高橋, 智, 1954-",['冊'],"2000, 2001",['図書']
発達障害児教育実践史研究 : 戦前の北海道における特別教育の成立と教育理念・目標・内容・方法,"市澤, 豊",['397p ; 22cm'],2006,['図書']
茨城県障害児教育史の研究,"船橋, 秀彦, 1955-",['223p ; 21cm'],1997,['図書']
地域で生きる : 自立をめざす重度障害者の自分史から,AJU自立の家,['209p ; 21cm'],2001,['図書']
日本の障害者雇用 : その歴史・現状・課題,"手塚, 直樹, 1933-",['338p ; 22cm'],2000,['図書']
言語障害児教育のあすを考える : 言語障害・難聴通級指導教室のルーツをさぐり、日本言語障害児教育研究会の歩みをたどる史料,"大熊, 喜代松, 1926-",['220p ; 26cm'],1997,['図書']
城戸幡太郎と日本の障害者教育科学 : 障害児教育における「近代化」と「現代化」の歴史的位相,"高橋, 智, 1954-","['694, 8p ; 22cm']",1998,['図書']
視覚障害者のための医学典籍講読法の開発と鍼灸・手技療法の歴史的考察,"和久田, 哲司",['60p'],"2001, 2003",['図書']
日本の障害者 : その文化史的側面,"花田, 春兆, 1925-2017",['258p ; 21cm'],1997,['図書']
日本の障害者の歴史 : 近世篇,"生瀬, 克己, 1942-2008",['269p ; 22cm'],1999,['図書']
近世障害者関係史料集成,"生瀬, 克己, 1942-2008",['806p ; 22cm'],1996,['図書']
城戸幡太郎の教育科学と障害児教育理論の研究 : 障害児教育における「近代化」と「現代化」の歴史的位相,"高橋, 智, 1954-",,,['博士論文']
